IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,SRB,Serbia,Year,2015,true,,,,,,,,,,,,,0.11,,,0.06,,0.17,0.11 [0.06 – 0.17],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,HRV,Croatia,Year,2015,true,,,,,,,,,,,,,0.11,,,0.07,,0.17,0.11 [0.07 – 0.17],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,CUB,Cuba,Year,2015,true,,,,,,,,,,,,,0.12,,,0.05,,0.25,0.12 [0.05 – 0.25],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2015,true,,,,,,,,,,,,,0.14,,,0.06,,0.29,0.14 [0.06 – 0.29],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2015,true,,,,,,,,,,,,,0.15,,,0.04,,0.44,0.15 [0.04 – 0.44],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,true,,,,,,,,,,,,,0.15,,,0.09,,0.23,0.15 [0.09 – 0.23],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2015,true,,,,,,,,,,,,,0.16,,,0.04,,0.51,0.16 [0.04 – 0.51],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2015,true,,,,,,,,,,,,,0.17,,,0.02,,1.73,0.17 [0.02 – 1.73],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2015,true,,,,,,,,,,,,,0.17,,,0.09,,0.31,0.17 [0.09 – 0.31],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2015,true,,,,,,,,,,,,,0.17,,,0.1,,0.26,0.17 [0.1 – 0.26],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,true,,,,,,,,,,,,,0.17,,,0.11,,0.27,0.17 [0.11 – 0.27],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,BEL,Belgium,Year,2015,true,,,,,,,,,,,,,0.18,,,0.1,,0.29,0.18 [0.1 – 0.29],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2015,true,,,,,,,,,,,,,0.18,,,0.13,,0.24,0.18 [0.13 – 0.24],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2015,true,,,,,,,,,,,,,0.19,,,0.01,,2.36,0.19 [0.01 – 2.36],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2015,true,,,,,,,,,,,,,0.19,,,0.02,,2.01,0.19 [0.02 – 2.01],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2015,true,,,,,,,,,,,,,0.19,,,0.11,,0.3,0.19 [0.11 – 0.3],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,ESP,Spain,Year,2015,true,,,,,,,,,,,,,0.19,,,0.12,,0.27,0.19 [0.12 – 0.27],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,MCO,Monaco,Year,2015,true,,,,,,,,,,,,,0.2,,,0.01,,2.94,0.2 [0.01 – 2.94],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2015,true,,,,,,,,,,,,,0.2,,,0.03,,1.32,0.2 [0.03 – 1.32],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2015,true,,,,,,,,,,,,,0.2,,,0.03,,1.53,0.2 [0.03 – 1.53],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2015,true,,,,,,,,,,,,,0.2,,,0.08,,0.49,0.2 [0.08 – 0.49],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2015,true,,,,,,,,,,,,,0.2,,,0.11,,0.34,0.2 [0.11 – 0.34],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2015,true,,,,,,,,,,,,,0.21,,,0.01,,3.83,0.21 [0.01 – 3.83],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,COL,Colombia,Year,2015,true,,,,,,,,,,,,,0.21,,,0.13,,0.33,0.21 [0.13 – 0.33],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2015,true,,,,,,,,,,,,,0.21,,,0.14,,0.3,0.21 [0.14 – 0.3],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2015,true,,,,,,,,,,,,,0.21,,,0.14,,0.32,0.21 [0.14 – 0.32],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2015,true,,,,,,,,,,,,,0.22,,,0.01,,4.98,0.22 [0.01 – 4.98],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AFR,Africa,Country,DZA,Algeria,Year,2015,true,,,,,,,,,,,,,0.22,,,0.12,,0.34,0.22 [0.12 – 0.34],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,PAN,Panama,Year,2015,true,,,,,,,,,,,,,0.22,,,0.15,,0.33,0.22 [0.15 – 0.33],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2015,true,,,,,,,,,,,,,0.22,,,0.16,,0.31,0.22 [0.16 – 0.31],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2015,true,,,,,,,,,,,,,0.23,,,0.02,,1.76,0.23 [0.02 – 1.76],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2015,true,,,,,,,,,,,,,0.24,,,0.01,,5.39,0.24 [0.01 – 5.39],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2015,true,,,,,,,,,,,,,0.24,,,0.02,,4.06,0.24 [0.02 – 4.06],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,DEU,Germany,Year,2015,true,,,,,,,,,,,,,0.24,,,0.15,,0.37,0.24 [0.15 – 0.37],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,PER,Peru,Year,2015,true,,,,,,,,,,,,,0.24,,,0.16,,0.35,0.24 [0.16 – 0.35],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,HND,Honduras,Year,2015,true,,,,,,,,,,,,,0.25,,,0.02,,2.82,0.25 [0.02 – 2.82],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,ARM,Armenia,Year,2015,true,,,,,,,,,,,,,0.25,,,0.04,,2.05,0.25 [0.04 – 2.05],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2015,true,,,,,,,,,,,,,0.26,,,0.16,,0.42,0.26 [0.16 – 0.42],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2015,true,,,,,,,,,,,,,0.27,,,0.13,,0.5,0.27 [0.13 – 0.5],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2015,true,,,,,,,,,,,,,0.27,,,0.18,,0.41,0.27 [0.18 – 0.41],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,CHL,Chile,Year,2015,true,,,,,,,,,,,,,0.28,,,0.11,,0.57,0.28 [0.11 – 0.57],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2015,true,,,,,,,,,,,,,0.3,,,0.03,,2.15,0.3 [0.03 – 2.15],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2015,true,,,,,,,,,,,,,0.3,,,0.2,,0.44,0.3 [0.2 – 0.44],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2015,true,,,,,,,,,,,,,0.31,,,0.01,,6.32,0.31 [0.01 – 6.32],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2015,true,,,,,,,,,,,,,0.31,,,0.19,,0.5,0.31 [0.19 – 0.5],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2015,true,,,,,,,,,,,,,0.31,,,0.2,,0.43,0.31 [0.2 – 0.43],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,SMR,San Marino,Year,2015,true,,,,,,,,,,,,,0.32,,,0.01,,11.32,0.32 [0.01 – 11.32],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2015,true,,,,,,,,,,,,,0.32,,,0.04,,3.01,0.32 [0.04 – 3.01],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,AUT,Austria,Year,2015,true,,,,,,,,,,,,,0.32,,,0.15,,0.62,0.32 [0.15 – 0.62],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,TUR,Turkey,Year,2015,true,,,,,,,,,,,,,0.32,,,0.22,,0.48,0.32 [0.22 – 0.48],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2015,true,,,,,,,,,,,,,0.32,,,0.23,,0.46,0.32 [0.23 – 0.46],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,BRB,Barbados,Year,2015,true,,,,,,,,,,,,,0.34,,,0.02,,4.81,0.34 [0.02 – 4.81],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2015,true,,,,,,,,,,,,,0.34,,,0.03,,3.33,0.34 [0.03 – 3.33],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2015,true,,,,,,,,,,,,,0.34,,,0.2,,0.56,0.34 [0.2 – 0.56],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2015,true,,,,,,,,,,,,,0.34,,,0.21,,0.52,0.34 [0.21 – 0.52],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,URY,Uruguay,Year,2015,true,,,,,,,,,,,,,0.35,,,0.03,,3.2,0.35 [0.03 – 3.2],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2015,true,,,,,,,,,,,,,0.36,,,0.03,,3.84,0.36 [0.03 – 3.84],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,EST,Estonia,Year,2015,true,,,,,,,,,,,,,0.36,,,0.06,,2.81,0.36 [0.06 – 2.81],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2015,true,,,,,,,,,,,,,0.37,,,0.24,,0.57,0.37 [0.24 – 0.57],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,GRC,Greece,Year,2015,true,,,,,,,,,,,,,0.37,,,0.25,,0.52,0.37 [0.25 – 0.52],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2015,true,,,,,,,,,,,,,0.38,,,0.04,,3.06,0.38 [0.04 – 3.06],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2015,true,,,,,,,,,,,,,0.38,,,0.04,,4.06,0.38 [0.04 – 4.06],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,DMA,Dominica,Year,2015,true,,,,,,,,,,,,,0.39,,,0.04,,2.66,0.39 [0.04 – 2.66],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,MLT,Malta,Year,2015,true,,,,,,,,,,,,,0.39,,,0.05,,3.14,0.39 [0.05 – 3.14],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2015,true,,,,,,,,,,,,,0.39,,,0.05,,3.17,0.39 [0.05 – 3.17],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,CZE,Czechia,Year,2015,true,,,,,,,,,,,,,0.39,,,0.23,,0.63,0.39 [0.23 – 0.63],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2015,true,,,,,,,,,,,,,0.42,,,0.05,,3.53,0.42 [0.05 – 3.53],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2015,true,,,,,,,,,,,,,0.43,,,0.05,,3.53,0.43 [0.05 – 3.53],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,HUN,Hungary,Year,2015,true,,,,,,,,,,,,,0.44,,,0.18,,0.97,0.44 [0.18 – 0.97],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2015,true,,,,,,,,,,,,,0.44,,,0.26,,0.71,0.44 [0.26 – 0.71],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2015,true,,,,,,,,,,,,,0.45,,,0.31,,0.63,0.45 [0.31 – 0.63],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2015,true,,,,,,,,,,,,,0.46,,,0.3,,0.72,0.46 [0.3 – 0.72],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,AMR,Americas,Country,GRD,Grenada,Year,2015,true,,,,,,,,,,,,,0.47,,,0.06,,4.35,0.47 [0.06 – 4.35],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2015,true,,,,,,,,,,,,,0.47,,,0.32,,0.66,0.47 [0.32 – 0.66],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,ISR,Israel,Year,2015,true,,,,,,,,,,,,,0.48,,,0.32,,0.69,0.48 [0.32 – 0.69],,,EN,2018-03-22T22:00:00.000Z
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2015,true,,,,,,,,,,,,,0.5,,,0.05,,3.76,0.5 [0.05 – 3.76],,,EN,2018-03-22T22:00:00.000Z
